StadiumTrackmanCSV : Sheet1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1/1/2024,53:27.5,10,3,"Welch, Mickey",5112,Right,NYG,"McCovey, Willie",7363,Left,SFG,Undefined,1,Bottom,2,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,1,,93.23369,-1.84699,-1.74089,2363.118,203.7098,12:45,5.64638,1.30248,5.9666,-15.3318,16.7017,6.89044,2.6549,0.26211,85.26217,-4.76605,-0.50294,0.407356,92.61961,-2.21711,6.871371,1588.716,,,,30.20705,29.71598,5.645827,0.22452,-4.02563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1/1/2024,54:07.6,11,1,"Welch, Mickey",5112,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,2,,92.68994,-2.10793,-2.55201,2364.892,204.535,12:45,5.61723,1.29473,5.84361,-16.5182,15.96131,6.83315,2.27899,-0.509,85.11025,-5.22437,-1.32815,0.410181,109.4054,25.22366,28.00222,2676.493,93.80177,47.62375,57.45538,403.2768,383.1035,40.49847,4.603665,-4.20166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1/1/2024,54:58.4,12,1,"Welch, Mickey",5112,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,2,0,0,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,81.06319,-0.40832,-1.24036,2950.268,57.9147,8:00,5.84917,1.14909,5.01454,-50.4029,-6.43063,-12.4217,1.26347,-1.05686,74.76061,-9.46738,-3.43888,0.477267,,,,,,,,,,,,5.88752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1/1/2024,55:16.0,12,2,"Welch, Mickey",5112,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,2,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.76443,-2.24693,-1.99591,2295.463,192.7383,12:30,5.7792,1.1069,5.68422,-21.2342,12.12095,2.50953,1.91302,-0.54509,84.34151,-6.19216,-1.54735,0.415674,,,,,,,,,,,,-1.81532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1/1/2024,55:36.8,12,3,"Welch, Mickey",5112,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.891,-2.41428,-1.71384,2206.139,188.3871,12:15,5.82482,1.14533,5.62762,-19.4299,13.73233,1.88244,1.95061,-0.29741,84.85502,-6.02425,-1.37769,0.41447,,,,,,,,,,,,-1.39413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1/1/2024,55:55.5,12,4,"Welch, Mickey",5112,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,2,1,2,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.56957,-2.46692,-1.62401,2899.022,77.17809,8:30,5.85247,0.89521,5.41409,-45.0908,-3.10823,-19.4545,-0.21847,-2.24779,76.24504,-10.589,-5.09299,0.466343,,,,,,,,,,,,9.42957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1/1/2024,56:16.6,12,5,"Welch, Mickey",5112,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,2,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.66909,-2.61895,-2.32718,2323.011,199.558,12:45,5.76332,1.13E+00,5.57826,-22.3043,12.12516,3.92146,1.45496,-0.72104,83.16395,-6.75158,-1.62773,0.422315,60.31825,-30.1323,-160.209,,,,,1.17146,3.99893,-18.5595,0.039252,-2.64453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1/1/2024,,12,6,"Welch, Mickey",5112,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,2,2,2,Other,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1/1/2024,57:03.9,12,7,"Welch, Mickey",5112,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,2,3,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,92.79268,-2.68393,-1.77035,2538.773,202.2238,12:45,5.73356,1.05784,5.62419,-16.3561,16.1932,6.22465,1.86305,-0.07594,85.57956,-5.74748,-0.65902,0.410622,77.01674,63.04099,37.7814,,66.208,96.6211,87.84346,140.2501,69.01153,52.9032,5.55447,-3.64827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1/1/2024,59:27.0,1,1,"Marichal, Juan",4358,Right,SFG,"Doyle, Larry",932,Left,NYG,Undefined,2,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.42761,-1.84641,-2.52038,2337.11,212.2277,1:00,5.89601,1.33142,6.55112,-14.7357,16.41458,9.74091,2.97274,-0.16941,85.60909,-4.6819,-0.75208,0.401701,,,,,,,,,,,,-5.77965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1/1/2024,59:40.9,1,2,"Marichal, Juan",4358,Right,SFG,"Doyle, Larry",932,Left,NYG,Undefined,2,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.40707,-0.42607,-2.45607,1924.135,242.0701,2:00,5.82398,1.59017,6.18659,-32.1862,10.44973,17.22123,2.74803,0.75615,73.84652,-6.43725,0.651749,0.469958,,,,,,,,,,,,-9.58914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1/1/2024,00:06.3,1,3,"Marichal, Juan",4358,Right,SFG,"Doyle, Larry",932,Left,NYG,Undefined,2,Top,0,0,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,81.31157,-0.86198,-3.31105,1665.761,241.2488,2:00,5.77265,1.50463,6.50728,-31.3243,9.8263,15.62946,2.36986,-0.23493,74.85239,-6.73535,-0.47614,0.461699,101.9957,30.30049,24.43137,2165.066,98.60371,60.05702,48.7565,426.3754,408.7861,31.14105,5.448673,-9.14646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1/1/2024,00:52.9,2,1,"Marichal, Juan",4358,Right,SFG,"Terry, Bill",2988,Left,NYG,Undefined,2,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.74582,2.712988,-0.01888,2500.13,21.40214,6:45,6.06739,1.39397,5.86961,-64.2448,-17.9092,-7.58067,3.23551,0.74471,71.42883,-9.02239,-1.38156,0.489924,,,,,,,,,,,,3.8787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1/1/2024,01:09.1,2,2,"Marichal, Juan",4358,Right,SFG,"Terry, Bill",2988,Left,NYG,Undefined,2,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.70389,-2.75813,-2.79992,2395.381,203.3618,12:45,5.88852,1.25319,6.45612,-11.0436,19.50985,8.00457,2.42957,-0.65386,86.54348,-4.92,-1.35041,0.397834,76.45312,38.17459,120.6913,5651.032,,,,,65.87151,,,-4.96713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1/1/2024,01:27.9,2,3,"Marichal, Juan",4358,Right,SFG,"Terry, Bill",2988,Left,NYG,Undefined,2,Top,0,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,96.45975,-2.32375,-2.07925,2489.418,197.3407,12:30,5.91186,1.28E+00,6.23786,-10.9027,19.00029,5.6115,2.85723,-0.17252,87.41035,-4.46417,-1.06648,0.393576,82.17848,5.172825,173.0141,2325.579,,,,103.0962,49.9622,176.3073,0.965089,-3.54729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1/1/2024,01:47.1,2,4,"Marichal, Juan",4358,Right,SFG,"Terry, Bill",2988,Left,NYG,Undefined,2,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.95772,2.141472,0.289318,2605.994,19.78342,6:45,6.1121,1.36E+00,6.07585,-59.271,-15.787,-6.16776,3.1552,1.11253,73.36404,-8.73564,-0.82392,0.474609,,,,,,,,,,,,3.27268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1/1/2024,02:06.2,2,5,"Marichal, Juan",4358,Right,SFG,"Terry, Bill",2988,Left,NYG,Undefined,2,Top,0,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,85.25672,0.273229,-0.73083,2479.695,54.47361,7:45,5.90854,1.45502,5.69104,-44.45,-5.76091,-9.73032,2.45904,-0.03699,78.38211,-7.84442,-2.47366,0.447678,,,,,,,,,,,,4.78177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1/1/2024,02:28.4,2,6,"Marichal, Juan",4358,Right,SFG,"Terry, Bill",2988,Left,NYG,Undefined,2,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.70746,0.771715,-1.05353,2711.359,15.00814,6:30,6.07275,1.32564,6.00844,-60.0674,-17.1266,-4.96173,1.78224,-0.06397,74.09696,-10.2087,-1.94928,0.471635,,,,,,,,,,,,2.25772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1/1/2024,02:56.9,3,1,"Marichal, Juan",4358,Right,SFG,"Wilhelm, Hoyt",1371,Right,NYG,Undefined,2,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.5415,-4.03957,-2.67688,2370.526,234.2708,1:45,5.96346,1.37103,6.1989,-18.5621,13.0654,16.77962,0.67741,0.29648,85.94445,-7.52406,0.351873,0.404766,,,,,,,,,,,,-9.56627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1/1/2024,03:13.7,3,2,"Marichal, Juan",4358,Right,SFG,"Wilhelm, Hoyt",1371,Right,NYG,Undefined,2,Top,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.58041,0.340622,-1.63354,2517.346,13.08142,6:30,6.08368,1.21436,5.97328,-60.3578,-16.54,-4.13957,1.36977,-0.64538,73.87202,-10.6484,-2.38042,0.476427,,,,,,,,,,,,1.69095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1/1/2024,03:33.3,3,3,"Marichal, Juan",4358,Right,SFG,"Wilhelm, Hoyt",1371,Right,NYG,Undefined,2,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.79939,-1.70E+00,-3.33594,2416.136,200.5923,12:45,5.96786,1.34447,6.41949,-11.7792,17.93115,6.40457,3.42152,-1.19187,88.00731,-3.98048,-2.17815,0.392306,,,,,,,,,,,,-4.20642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1/1/2024,03:52.1,3,4,"Marichal, Juan",4358,Right,SFG,"Wilhelm, Hoyt",1371,Right,NYG,Undefined,2,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,96.36115,-2.8642,-3.30838,2430.536,198.9661,12:45,5.9376,1.32429,6.51271,-11.2732,18.0382,5.89524,2.36332,-1.22367,88.57426,-5.0512,-2.2407,0.389663,,,,,,,,,,,,-3.94536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1/1/2024,04:24.7,4,1,"Marichal, Juan",4358,Right,SFG,"Jackson, Travis",246,Right,NYG,Undefined,2,Top,1,0,0,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.93117,-1.09302,-1.82804,2128.708,250.0378,2:15,5.93176,1.60E+00,6.23959,-26.0608,6.25548,14.68296,2.75119,1.13433,84.92787,-5.94249,0.826051,0.40915,,,,,,,,,,,,-8.1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1/1/2024,04:49.4,4,2,"Marichal, Juan",4358,Right,SFG,"Jackson, Travis",246,Right,NYG,Undefined,2,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.20237,-0.0052,-0.84249,2575.06,12.57412,6:30,6.13271,1.46E+00,5.73046,-59.1122,-15.3103,-3.71945,1.20186,0.36682,73.97629,-10.738,-1.51099,0.476341,,,,,,,,,,,,1.67032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1/1/2024,05:07.1,4,3,"Marichal, Juan",4358,Right,SFG,"Jackson, Travis",246,Right,NYG,Undefined,2,Top,1,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.21227,-1.83215,-1.79372,2262.069,245.1354,2:15,5.96605,1.45886,6.07879,-24.2609,9.03839,17.2678,2.2478,1.23775,83.68591,-6.35655,1.318543,0.415326,,,,,,,,,,,,-9.48725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1/1/2024,05:29.6,4,4,"Marichal, Juan",4358,Right,SFG,"Jackson, Travis",246,Right,NYG,Undefined,2,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.29221,-0.36142,-1.80349,2432.525,193.797,12:30,6.0204,1.5001,6.37079,-10.001,20.24682,4.73496,4.85428,0.23473,86.74937,-2.34298,-0.94666,0.395839,,,,,,,,,,,,-2.96095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1/1/2024,05:49.1,4,5,"Marichal, Juan",4358,Right,SFG,"Jackson, Travis",246,Right,NYG,Undefined,2,Top,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.94629,-1.86129,-2.54537,2413.32,195.8749,12:30,5.99947,1.3847,6.35816,-10.5865,19.87438,5.37788,3.40198,-0.51125,86.73314,-3.9394,-1.5732,0.39723,,,,,,,,,,,,-3.49945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1/1/2024,06:07.9,4,6,"Marichal, Juan",4358,Right,SFG,"Jackson, Travis",246,Right,NYG,Undefined,2,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,95.46039,-2.94463,-3.04728,2401.309,204.1946,12:45,5.9161,1.31166,6.58194,-9.97272,20.00596,8.55154,2.38032,-0.77094,87.12262,-4.91697,-1.49567,0.394074,,,,,,,,,,,,-5.34768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1/1/2024,06:57.5,5,1,"Marichal, Juan",4358,Right,SFG,"Connor, Roger",8363,Left,NYG,Undefined,2,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Double,0,1,,95.76244,-1.94686,-2.29839,2522.428,206.6352,1:00,5.97294,1.60498,6.28651,-13.0526,16.97843,8.03678,3.08891,0.15543,87.48129,-4.46428,-0.84659,0.394418,92.4033,11.36163,-29.6017,3241.492,90.92794,13.34446,-61.9035,191.5527,189.9079,-37.8032,1.768426,-4.83146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1/1/2024,08:29.0,6,1,"Marichal, Juan",4358,Right,SFG,"Davis, George",7210,Left,NYG,Undefined,2,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.79365,-0.902,-2.30468,1937.836,246.3797,2:15,5.8731,1.8091,6.09615,-33.8892,8.50611,16.43737,2.21401,1.04614,74.27585,-7.19926,0.658438,0.46863,,,,,,,,,,,,-9.1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1/1/2024,08:44.4,6,2,"Marichal, Juan",4358,Right,SFG,"Davis, George",7210,Left,NYG,Undefined,2,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.99967,1.852187,-0.94545,2685.322,12.95394,6:30,6.11403,1.64E+00,5.27285,-57.8768,-14.1515,-3.57421,3.0315,0.45084,74.23485,-8.61756,-1.58076,0.475924,,,,,,,,,,,,1.50839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1/1/2024,09:02.3,6,3,"Marichal, Juan",4358,Right,SFG,"Davis, George",7210,Left,NYG,Undefined,2,Top,1,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.73473,0.080038,-0.21578,2651.438,5.544177,6:15,6.08238,1.55E+00,5.37921,-56.6291,-13.9784,-1.48449,1.43832,1.22162,75.37731,-10.1466,-0.48077,0.47004,,,,,,,,,,,,0.68854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1/1/2024,09:24.7,6,4,"Marichal, Juan",4358,Right,SFG,"Davis, George",7210,Left,NYG,Undefined,2,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.14968,-1.11128,-0.99746,2459.997,201.7974,12:45,5.98458,1.51272,6.29502,-10.0791,19.84509,7.53512,4.12041,1.22147,87.18557,-3.10846,0.36504,0.393715,,,,,,,,,,,,-4.18733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1/1/2024,09:44.4,6,5,"Marichal, Juan",4358,Right,SFG,"Davis, George",7210,Left,NYG,Undefined,2,Top,1,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,96.6925,-2.61173,-1.69521,2504.374,201.5813,12:45,5.99426,1.55378,6.40022,-9.78083,19.6667,7.39307,2.77475,0.61051,87.99002,-4.54557,-0.35626,0.390567,77.87017,60.03234,-96.7881,,,,,,11.82746,,,-4.35091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1/1/2024,10:06.0,6,6,"Marichal, Juan",4358,Right,SFG,"Davis, George",7210,Left,NYG,Undefined,2,Top,1,2,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,84.6464,-4.56816,-3.56577,2135.924,239.0347,2:00,5.76817,1.76215,6.24596,-27.7217,10.96434,16.22304,-0.77224,-0.17883,78.08361,-9.7028,-0.63489,0.44766,,,,,,,,,,,,-9.63725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1/1/2024,10:45.0,6,7,"Marichal, Juan",4358,Right,SFG,"Davis, George",7210,Left,NYG,Undefined,2,Top,1,3,2,Curveball,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,81.44802,2.232007,0.052872,2644.536,11.84113,6:30,6.14701,1.65295,5.47699,-59.1234,-16.0438,-3.6615,3.30962,1.39729,74.31567,-8.51118,-0.60058,0.472397,,,,,,,,,,,,1.85028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1/1/2024,11:36.7,7,1,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,2,Top,1,0,0,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,1,,86.31552,-2.02421,-1.80807,2437.674,109.0603,9:45,5.97694,1.60969,5.92029,-36.1199,1.97284,-1.73898,1.08683,-0.21361,78.25837,-8.68854,-2.12083,0.444214,,,,,,,,,,,,0.30433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1/1/2024,12:16.8,7,2,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,2,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.91431,-3.3396,-2.14678,2423.414,212.3812,1:00,5.96087,1.54915,6.20775,-13.8621,16.81733,10.0476,1.71775,0.40415,86.94025,-5.99013,-0.33359,0.398653,77.27358,58.27117,-116.614,4559.644,,,,,33.07938,,,-5.82772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1/1/2024,12:39.7,7,3,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,2,Top,1,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.32921,-0.86504,-1.07231,2582.984,355.0483,5:45,6.06738,1.54E+00,5.47827,-57.5079,-14.8031,1.38945,0.46545,0.65226,75.65583,-11.221,-0.82355,0.470337,,,,,,,,,,,,-1.00547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1/1/2024,13:17.3,7,4,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,2,Top,1,1,2,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,82.12801,0.141007,-1.09376,2571.547,9.154913,6:15,5.97208,1.66E+00,5.33703,-56.9864,-14.7568,-2.58323,1.35552,0.41481,75.91034,-10.1317,-1.55438,0.467713,59.68312,-39.213,95.46589,,,,,3.08462,2.61478,37.53561,0.034379,1.00106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1/1/2024,13:42.5,7,5,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,2,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.26909,-2.10974,-3.08986,2432.673,196.8336,12:30,6.02145,1.46567,6.42216,-10.5823,19.65891,5.65504,3.1966,-0.90606,86.96043,-4.18873,-2.06719,0.395796,,,,,,,,,,,,-3.84107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1/1/2024,14:04.8,7,6,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,2,Top,1,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.25152,-2.50905,-2.71006,2144.463,237.7618,2:00,5.86082,1.78668,6.17211,-27.981,11.95977,16.94406,1.20771,0.69388,76.47632,-7.72989,0.347961,0.454862,,,,,,,,,,,,-9.59709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1/1/2024,14:27.3,7,7,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,2,Top,1,3,2,Curveball,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,81.46561,2.942469,0.136081,2639.782,10.81231,6:15,6.09845,1.58394,5.30089,-56.1358,-13.1564,-2.76012,4.18524,1.48168,74.79242,-7.22509,-0.35419,0.471848,,,,,,,,,,,,1.41016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1/1/2024,15:03.2,8,1,"Marichal, Juan",4358,Right,SFG,"Irvin, Monte",9208,Right,NYG,Undefined,2,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.5833,-1.90047,-2.84479,2378.122,205.714,12:45,6.00893,1.65486,6.1826,-11.4187,19.54584,8.9313,3.29968,-0.22987,86.2482,-4.12797,-1.23588,0.400501,,,,,,,,,,,,-5.39965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1/1/2024,15:23.8,8,2,"Marichal, Juan",4358,Right,SFG,"Irvin, Monte",9208,Right,NYG,Undefined,2,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.24153,-0.05405,-2.98334,2399.978,193.256,12:30,6.06153,1.57025,6.27142,-11.648,18.80851,4.20138,5.04097,-0.83229,86.65476,-2.3301,-2.22571,0.397202,,,,,,,,,,,,-3.01858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1/1/2024,15:44.1,8,3,"Marichal, Juan",4358,Right,SFG,"Irvin, Monte",9208,Right,NYG,Undefined,2,Top,1,1,1,Curveball,Curveball,InPlay,Undefined,FlyBall,HomeRun,0,4,,81.61341,0.325745,-0.82219,2686.468,18.50762,6:30,6.12427,1.65112,5.72744,-52.5423,-10.2492,-3.8765,2.04915,0.56229,75.00894,-9.25301,-1.51777,0.468065,97.90062,32.88317,-20.2205,2397.585,102.7756,66.32361,-39.206,396.754,392.3661,-23.2505,5.448457,1.75016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1/1/2024,18:37.9,9,1,"Blue, Vida",4559,Left,SFG,"Youngs, Ross",2050,Left,NYG,Undefined,2,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.00577,-2.58939,2.983135,1984.53,163.9035,11:30,5.72286,-1.67E+00,6.19178,-19.4259,16.19284,-4.35677,1.70856,0.72744,80.92397,-6.25463,2.198119,0.429547,,,,,,,,,,,,3.06205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1/1/2024,18:51.9,9,2,"Blue, Vida",4559,Left,SFG,"Youngs, Ross",2050,Left,NYG,Undefined,2,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.89808,-1.78895,2.724788,2165.336,172.2403,11:45,5.74748,-1.52E+00,6.45464,-18.3797,16.08135,-2.05067,2.57004,0.81178,81.78808,-5.28265,2.353431,0.422508,,,,,,,,,,,,1.78567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1/1/2024,19:06.9,9,3,"Blue, Vida",4559,Left,SFG,"Youngs, Ross",2050,Left,NYG,Undefined,2,Top,1,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,78.71197,1.288131,1.677418,2216.898,288.4711,3:30,5.73262,-1.71166,5.66657,-48.5182,-3.18193,13.52296,2.89121,0.97972,72.62898,-7.57406,4.093789,0.484612,96.9075,-8.14495,0.922581,,,,,18.52456,17.77434,-2.27167,0.125201,-6.45977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1/1/2024,19:39.0,10,1,"Blue, Vida",4559,Left,SFG,"Doyle, Larry",932,Left,NYG,Undefined,2,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.66653,-0.21073,2.268021,2255.434,303.6135,4:00,5.74114,-1.64479,5.84904,-49.9031,-4.60918,9.03174,1.38658,1.21643,72.56306,-9.3261,3.889021,0.484386,,,,,,,,,,,,-3.99429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1/1/2024,19:56.8,10,2,"Blue, Vida",4559,Left,SFG,"Doyle, Larry",932,Left,NYG,Undefined,2,Top,2,1,0,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,78.55306,0.651478,1.676096,2212.14,293.5391,3:45,5.67266,-1.80479,5.70586,-47.4521,-2.26028,8.09221,2.3256,0.43164,72.89979,-8.00754,3.124121,0.483839,88.92666,60.12358,-35.0173,5746.87,68.81301,144.723,-85.8181,195.163,96.15303,-55.8001,5.926772,-3.72894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
